oats|Rolled oats, dry|Płatki owsiane, suche
rice|White rice, dry|Ryż biały, suchy
buckwheat|Buckwheat, dry|Kasza gryczana, sucha
bulgur|Bulgur, dry|Bulgur, suchy
couscous|Couscous, dry|Kuskus, suchy
quinoa|Quinoa, dry|Komosa ryżowa, sucha
millet|Millet, dry|Kasza jaglana, sucha
pasta|Pasta, dry|Makaron, suchy
bread|Wholegrain bread|Chleb pełnoziarnisty
lavash|Wheat flatbread|Lawasz pszenny
flour|Wheat flour|Mąka pszenna
chicken|Chicken breast, raw|Filet z kurczaka, surowy
turkey|Turkey breast, raw|Filet z indyka, surowy
beef|Lean beef, raw|Chuda wołowina, surowa
chicken_cooked|Chicken breast, cooked|Filet z kurczaka, ugotowany
turkey_cooked|Turkey, cooked|Indyk, ugotowany
salmon|Salmon, raw|Łosoś, surowy
cod|Cod, raw|Dorsz, surowy
tuna|Tuna in its own juices|Tuńczyk w sosie własnym
shrimp|Peeled shrimp, cooked|Krewetki obrane, ugotowane
egg|Egg without shell|Jajko bez skorupki
egg_cooked|Boiled egg|Jajko gotowane
milk|Milk, 2.5% fat|Mleko 2,5%
yogurt|Plain yogurt|Jogurt naturalny
greek_yogurt|Greek yogurt, 2% fat|Jogurt grecki 2%
cottage|Quark, 5% fat|Twaróg 5%
feta|Feta cheese|Ser feta
cheese|Semi-hard cheese|Ser półtwardy
mozzarella|Mozzarella|Mozzarella
kefir|Kefir, 2.5% fat|Kefir 2,5%
tofu|Tofu|Tofu
chickpeas|Chickpeas, cooked|Ciecierzyca, ugotowana
beans|Beans, cooked|Fasola, ugotowana
lentils|Lentils, cooked|Soczewica, ugotowana
peas|Green peas|Groszek zielony
corn|Canned sweetcorn|Kukurydza konserwowa
potato|Potato, raw|Ziemniaki, surowe
sweet_potato|Sweet potato, raw|Batat, surowy
tomato|Tomato|Pomidor
cucumber|Cucumber|Ogórek
pepper|Sweet pepper|Papryka słodka
carrot|Carrot|Marchew
onion|Onion|Cebula
